kInt8In8,Int8Int4,Int8Binary,Int8Ternary,Int4ActInt8Weight,Int4ActInt4Weight,TernaryActInt8Weight,TernaryActTernaryWeight,
1,86.252485,0.000000,0.000000,81.322052,83.597350,0.000000,0.000000,
1,76.258416,0.000000,73.496703,60.294421,57.716229,67.580936,70.926092,
1,50.888335,0.000000,46.465721,41.405247,37.420075,49.669081,50.072627,
1,35.621907,22.972329,28.683714,5.165595,3.407486,24.557743,26.225273,
1,37.005705,34.690738,40.257843,28.693216,20.114053,34.271866,36.043720,
1,41.033527,32.306310,38.979731,25.860312,16.729484,32.216585,34.372581,
1,31.016264,23.788592,31.283469,25.224278,14.483076,27.765033,29.971568,
1,13.614153,-1.286568,7.732515,1.648568,-9.645015,7.379913,9.836082,
1,10.710165,-0.847480,8.857749,7.056695,-7.527674,7.309892,10.731192,
1,-1.967742,-17.921669,-4.882816,-7.801314,-24.345685,-6.631865,-2.831813,
1,0.449558,-15.102308,-3.423664,-2.865759,-19.312250,-3.547566,0.230213,
1,-5.458207,-26.262888,-11.967480,-8.186038,-25.491947,-13.658521,-4.870046,
1,-7.316975,-20.119198,-8.025835,-8.353114,-27.096916,-11.062742,-3.294239,
1,-10.424762,-27.541639,-14.598112,-11.659786,-31.511640,-12.778123,-11.102491,
1,-9.971006,-26.809279,-14.010064,-13.777689,-29.984160,-15.872161,-9.212663,
1,-10.599832,-29.745269,-16.006115,-11.977871,-33.029476,-17.003966,-11.043612,
1,-10.959947,-29.650064,-16.082556,-11.594274,-30.866850,-14.645594,-10.813384,
1,-10.873828,-30.010375,-16.178082,-12.335060,-33.223356,-17.733034,-11.210965,
1,-10.104279,-26.821396,-13.953463,-13.390698,-29.728112,-15.200533,-8.509224,
