kInt8In8,Int8Int4,Int8Binary,Int8Ternary,Int4ActInt8Weight,Int4ActInt4Weight,TernaryActInt8Weight,TernaryActTernaryWeight,
1,65.198291,0.000000,0.000000,50.539949,57.114114,0.000000,0.000000,
1,55.692769,0.000000,50.366083,23.393929,25.875889,44.679318,45.479470,
1,24.362049,0.000000,27.175992,16.265230,7.987476,27.652856,22.895893,
1,19.691819,9.544622,16.192346,-17.560308,-22.242027,5.085352,2.063154,
1,5.108932,8.319953,15.925423,-1.275139,-14.478413,5.948306,8.221743,
1,-2.878929,-17.308287,-5.838076,-28.076519,-40.416812,-14.559488,-16.159004,
1,-4.167725,-12.537751,-1.460964,-11.038409,-26.725254,-7.899252,-9.299391,
1,-10.074591,-21.984077,-11.494691,-20.894583,-38.102322,-14.521452,-14.259094,
1,-8.522983,-22.474844,-10.636605,-14.278495,-30.717770,-12.617301,-11.671755,
1,-12.062483,-28.366252,-15.365110,-19.545442,-36.641343,-17.828679,-14.552181,
1,-12.447192,-28.557670,-15.843609,-16.042223,-35.930077,-16.306466,-12.719287,
1,-14.418567,-31.221205,-20.244928,-22.123782,-39.958566,-22.586388,-14.122956,
1,-14.380546,-31.020811,-19.002041,-16.615692,-34.982647,-17.405132,-13.636897,
1,-13.978827,-32.360410,-19.466503,-16.741816,-34.737616,-18.045018,-13.200094,
1,-14.346561,-32.786446,-19.860951,-17.414943,-34.903678,-19.386704,-12.994073,
1,-13.271426,-31.647146,-18.610756,-14.850424,-35.841462,-16.539504,-11.594303,
1,-13.608629,-31.871190,-19.742985,-14.742663,-49.630823,-16.623456,-12.488592,
1,-13.360618,-31.647305,-19.429820,-14.873145,-35.951710,-16.552483,-12.168640,
1,-14.513678,-32.695436,-20.333105,-15.317174,-35.353680,-17.495494,-13.438457,
