kInt8In8,Int8Int4,Int8Binary,Int8Ternary,Int4ActInt8Weight,Int4ActInt4Weight,TernaryActInt8Weight,TernaryActTernaryWeight,BinaryActInt8Weight,BinaryActBinaryWeight,Int8QuaTernary,
1,94.522678,91.163817,93.834943,95.030306,94.891108,94.168553,94.125599,92.643706,94.798991,91.759475,
1,90.782033,86.038682,90.801193,90.865182,90.602959,91.133853,90.465338,88.300003,92.352484,86.831922,
1,88.416148,79.991529,87.583970,88.688467,88.391920,89.463183,88.243647,83.740833,91.206208,81.601387,
1,84.061943,81.030091,83.752744,84.786265,84.225145,86.249257,84.302431,85.327377,91.485572,70.711976,
1,76.767764,73.225028,78.274421,78.998799,78.062551,81.405524,78.291195,80.050525,90.555954,56.416360,
1,62.792117,55.247572,65.312202,66.109878,64.092888,70.216437,65.108214,67.995459,87.709911,23.397197,
1,51.679795,40.528600,54.772075,55.238697,52.796500,60.831666,54.360816,58.207587,85.914718,-4.553827,
1,27.327839,6.171181,27.769028,29.160211,25.404390,38.234792,29.223977,35.605970,80.447936,-66.101443,
1,33.966864,15.106057,35.025944,37.606599,33.333925,44.707249,36.341910,42.257159,83.241241,-51.081480,
1,17.882525,-8.802779,19.538630,21.709387,15.310505,32.057981,19.430604,28.209444,78.992791,-90.725132,
1,14.121314,-12.526062,16.161087,18.237031,11.737612,29.199469,17.410979,25.113369,79.565966,-98.463600,
1,23.972486,1.091536,26.290133,22.662015,22.346098,33.943912,27.406313,27.865654,82.395819,-75.377134,
1,22.550611,3.542420,28.265076,24.213690,21.497109,34.251035,29.238759,32.276554,82.893278,-71.022224,
1,33.589903,16.240259,35.586491,30.697410,30.208248,43.221296,35.955608,41.427280,85.246874,-51.494888,
1,31.271068,11.563985,33.891527,28.201905,27.897852,41.291768,34.945955,38.832004,84.079850,-55.266883,
1,21.566190,1.961723,25.332103,16.164352,19.354218,26.466328,26.693707,29.696957,81.854440,-73.979427,
1,20.333302,0.631256,25.056460,14.096305,18.244255,25.636804,25.839325,27.730945,81.589150,-76.418429,
1,21.827636,2.521108,26.534794,15.934062,19.742974,27.015596,27.090984,28.963905,81.763608,-73.236809,
1,25.440797,11.239997,32.936184,27.936131,27.518797,39.278191,34.007115,38.399636,83.383293,-57.793722,
