kInt8In8,Int8Int4,Int8Binary,Int8Ternary,Int4ActInt8Weight,Int4ActInt4Weight,TernaryActInt8Weight,TernaryActTernaryWeight,
0.005938,0.000816,-1.000000,-1.000000,0.001109,0.000974,-1.000000,-1.000000,
0.004115,0.000977,-1.000000,0.001091,0.001634,0.001740,0.001334,0.001196,
0.003691,0.001813,-1.000000,0.001976,0.002163,0.002310,0.001858,0.001843,
0.004313,0.002777,0.003322,0.003076,0.004091,0.004166,0.003254,0.003182,
0.008592,0.005413,0.005611,0.005133,0.006127,0.006864,0.005647,0.005495,
0.015847,0.009345,0.010728,0.009670,0.011749,0.013196,0.010742,0.010400,
0.027600,0.019040,0.021034,0.018966,0.020638,0.023603,0.019937,0.019328,
0.042170,0.036429,0.042713,0.038910,0.041475,0.046238,0.039058,0.038023,
0.081006,0.072330,0.081693,0.073831,0.075290,0.087104,0.075085,0.072313,
0.138799,0.141530,0.163674,0.145576,0.149627,0.172590,0.148004,0.142729,
0.280925,0.279662,0.323351,0.290542,0.288975,0.335177,0.290891,0.280278,
0.533210,0.562314,0.673246,0.597022,0.576859,0.669135,0.606038,0.559177,
1.069022,1.147242,1.284100,1.154820,1.158318,1.358694,1.187285,1.104238,
2.014278,2.224262,2.569043,2.308325,2.249138,2.649010,2.271665,2.237913,
4.051794,4.455799,5.138051,4.619453,4.610038,5.266691,4.694902,4.425072,
7.917608,8.756861,10.272722,9.184910,8.865969,10.532753,9.263916,8.791998,
15.819555,17.553369,20.510063,18.363743,17.653717,20.702553,18.136422,17.530184,
7.898503,8.757373,10.268874,9.176330,8.872789,10.522651,9.299148,8.784002,
8.102712,8.921432,10.275972,9.233321,9.187721,10.511495,9.334367,8.792190,
