kInt8In8,Int8Int4,Int8Binary,Int8Ternary,Int4ActInt8Weight,Int4ActInt4Weight,TernaryActInt8Weight,TernaryActTernaryWeight,
0.003960,0.001378,-1.000000,-1.000000,0.001958,0.001698,-1.000000,-1.000000,
0.003905,0.001730,-1.000000,0.001938,0.002992,0.002895,0.002160,0.002129,
0.009240,0.006989,-1.000000,0.006729,0.007737,0.008502,0.006685,0.007124,
0.013018,0.010455,0.011776,0.010910,0.015304,0.015914,0.012356,0.012750,
0.046506,0.044130,0.042637,0.039100,0.047099,0.053240,0.043740,0.042683,
0.073239,0.075347,0.085915,0.077514,0.093802,0.102839,0.083902,0.085073,
0.301313,0.313871,0.339091,0.305715,0.334574,0.381840,0.325115,0.329334,
0.542989,0.597693,0.662361,0.605404,0.656445,0.749881,0.621839,0.620415,
2.152394,2.335842,2.636141,2.381336,2.459724,2.813562,2.423968,2.403616,
4.064624,4.554918,5.217605,4.689158,4.859072,5.553956,4.789292,4.656115,
8.109181,9.118546,10.424974,9.393967,9.410073,11.022815,9.431501,9.140611,
15.747947,18.018575,20.664646,18.936107,19.231988,22.040601,19.304839,17.972023,
31.529804,36.063961,41.310604,37.521110,36.768699,42.559764,37.017607,35.829490,
15.624665,17.808810,20.680871,18.666241,18.240518,21.052302,18.444139,17.687136,
31.170955,35.642915,41.390803,37.361803,36.599359,42.050764,37.213975,35.221331,
62.826525,71.164501,82.709327,74.519017,72.156530,85.344471,73.217721,70.110823,
125.282813,142.332085,165.211936,150.017380,143.752835,187.461703,146.109145,140.928872,
62.800136,71.190622,82.674686,75.002089,72.140491,85.377858,73.195118,70.442058,
62.362413,71.413493,82.752076,75.042628,71.914572,84.409821,73.273025,70.742959,
